10.0.2.15,54.230.144.210,49439,80,TCP,1460611597,54.230.144.210,49439  >  http [ACK] Seq=190 Ack=125578 Win=64240 Len=0
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=125578 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=126998 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=128418 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=129838 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=131258 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,"http  >  49439 [PSH, ACK] Seq=132678 Ack=190 Win=65535 Len=1060"
10.0.2.15,54.230.144.210,49439,80,TCP,1460611597,54.230.144.210,49439  >  http [ACK] Seq=190 Ack=133738 Win=64240 Len=0
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=133738 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=135158 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,"http  >  49439 [PSH, ACK] Seq=136578 Ack=190 Win=65535 Len=1240"
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=137818 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=139238 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=140658 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=142078 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=143498 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,"http  >  49439 [PSH, ACK] Seq=144918 Ack=190 Win=65535 Len=1060"
10.0.2.15,54.230.144.210,49439,80,TCP,1460611597,54.230.144.210,49439  >  http [ACK] Seq=190 Ack=145978 Win=64240 Len=0
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=145978 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=147398 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=148818 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=150238 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=151658 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=153078 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,"http  >  49439 [PSH, ACK] Seq=154498 Ack=190 Win=65535 Len=1000"
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=155498 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=156918 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,"http  >  49439 [PSH, ACK] Seq=158338 Ack=190 Win=65535 Len=1240"
10.0.2.15,54.230.144.210,49439,80,TCP,1460611597,54.230.144.210,49439  >  http [ACK] Seq=190 Ack=159578 Win=64240 Len=0
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=159578 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=160998 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,"http  >  49439 [PSH, ACK] Seq=162418 Ack=190 Win=65535 Len=1240"
10.0.2.15,54.230.144.210,49439,80,TCP,1460611597,54.230.144.210,49439  >  http [ACK] Seq=190 Ack=163658 Win=64240 Len=0
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=163658 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=165078 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=166498 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=167918 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=169338 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=170758 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,"http  >  49439 [PSH, ACK] Seq=172178 Ack=190 Win=65535 Len=1000"
10.0.2.15,54.230.144.210,49439,80,TCP,1460611597,54.230.144.210,49439  >  http [ACK] Seq=190 Ack=173178 Win=64240 Len=0
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=173178 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=174598 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=176018 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=177438 Ack=190 Win=65535 Len=1420
54.230.144.210,10.0.2.15,80,49439,TCP,1460611597,10.0.2.15,http  >  49439 [ACK] Seq=178858 Ack=190 Win=65535 Len=1420
